שם פרויקט,מספר פרויקט,סטטוס
חנויות H&M,605,הסתיים
חנות H&M ,3848,הסתיים
חנות H&M בנצרת,3973,הסתיים
חנות H&M קריון,3937,הסתיים
"חניון לב המע""ר הצפוני",709,הסתיים
חניון מגדלי אסותא,7013,הסתיים
"חפ""א - החברה לפיתוח אשדוד",122,הסתיים
חפציבה - כרמיאל,3677,הסתיים
חפציבה - עכו,3676,הסתיים
"חצר בי""ס אזורי כרמל",3207,הסתיים
חצרות המושבה,682,הסתיים
חצרות המושבה שלב ב',880,הסתיים
חריש,111,הסתיים
חשמל בפריחה,633,הסתיים
"חשמל ומ""א מערכת חינוך",3817,הסתיים
טבריה - מרכז התפתחות הילד,3930,הסתיים
טבריה - עב' שיקום ופיתוח  03/2018,30693,הסתיים
טויוטה  - חיפה,509,הסתיים
טויוטה - ראשון לציון,524,הסתיים
טויוטה יגאל אלון,861,הסתיים
טויוטה פארק ראם,747,הסתיים
טויוטה רעננה,476,הסתיים
טופ דן,419,הסתיים
טיב טעם באר שבע,393,הסתיים
טייבר 26 גבעתיים,7071,הסתיים
טיילת חוף הכרמל,3642,הסתיים
טיפול בצמתים במסגרת מטרונית הדר  ח.10584/9 ,3975,הסתיים
טירת הכרמל - נדן,3382,הסתיים
טירת הכרמל - עיריה,343,הסתיים
"טללים - 83 יח""ד",5038,הסתיים
טמרה - 519,30519,הסתיים
טן כפר סבא,676,הסתיים
יהדות מוסול,3730,הסתיים
יהודה מכבי 48,998,הסתיים
יובלים נס ציונה,968,הסתיים
יובלים שלב ו',3670,הסתיים
יום מנהלי פרויקטים,9999,הסתיים
יוניק ויו,7044,הסתיים
יזמים שונים,3685,הסתיים
יחידות דיור - קיבוץ כרמים,5129,הסתיים
יחידות דיור - קיבוץ ניצנים,5149,הסתיים
ייעוץ לכתיבת מכרז אחזקה כללית שוטפת,3898,הסתיים
ייעוץ לכתיבת מכרז דגלול לשנת 2011,3884,הסתיים
ייעוץ לכתיבת מכרז דגלול לשנת 2012,3932,הסתיים
"יישום דו""ח דוברת",3699,הסתיים
ימית 2000,359,הסתיים
ימית 2000 - אולם ארועים ומשרדים,505,הסתיים
ימית 2000 - בריכת השלום,506,הסתיים
ימית 2000 - גג הבריכה,507,הסתיים
יעוץ הנדסי לחברת שמאות וביטוח,375,הסתיים
יעוץ לכתיבת מכרז חלקלקות,3867,הסתיים
יעוץ/עב' קטנות - כללי,3414,הסתיים
יפו,624,הסתיים
ירוחם- השלמת פיתוח ותשתיות בא.ת קיים 10010-20,317223,הסתיים
"ירושלים, רמות - 64 יח""ד",428,הסתיים
ירכא - הסדרת כביש כניסה 17/2015,30498,הסתיים
ירכא עב' סלילה ניקוז ותאורה כביש קדמני 15/2018,30555,הסתיים
ירקון סנטר,370,הסתיים
ישפרו - מודיעין,360,הסתיים
ישפרו מודעין  2,465,הסתיים
ישפרו סנטר ערד,5062,הסתיים
ישפרו קרית יהודית,5103,הסתיים
ישפרו קרית יהודית תשתיות ציבוריות,5132,הסתיים
"כ""ס 120 יח""ד",535,הסתיים
כביש 1 - נאות חובב,5134,הסתיים
כביש 2 וכביש הרכבת רמת חובב,5081,הסתיים
כביש 4711,598,הסתיים
כביש 5 רמת חובב,5074,הסתיים
כביש 562,3850,הסתיים
כביש 65 - מגידו תענכים,3856,הסתיים
כביש 65 צומת מוצמוץ,3934,הסתיים
כביש 651 - רמזור צומת פארק תעשיות קיסריה,3844,הסתיים
כביש 70 מסדרון יקנעם,3777,הסתיים
כביש 75 כניסה לרמת ישי,3851,הסתיים
כביש 77 צומת א.ת ציפורית,3943,הסתיים
כביש 77 צומת כניסה - מחנה שמשון  ,3837,הסתיים
כביש 77/54 צומת בית רימון,3838,הסתיים
כביש 781 שפרעם עוקף קריות,3805,הסתיים
כביש 79 - מחלף המוביל,3779,הסתיים
כביש 79 - מחלף יפתחאל,3795,הסתיים
כביש 89 גשר עכברה,3885,הסתיים
כביש 90 מעגלי תנועה,3859,הסתיים
כביש בכפר ביאליק,3913,הסתיים
כביש גישה לעין כרמל,3919,הסתיים
כביש גישה לתחנת כוח חגית ,3875,הסתיים
כביש עוקף דרומי,3428,הסתיים
כביש ראס עלי,3843,הסתיים
כבישים בשכונת בנימין דרום - מכרז מס' 3,3952,הסתיים
